approach,messages,concurrency,total_messages,repeat,mean_ms,min_ms,max_ms,p95_ms,total_ms,throughput_msg_per_s,client_wall_ms,server_peak_cpu_pct,server_mean_cpu_pct,server_peak_rss_mb
threading,100,1,100,2,0.2689,0.1806,0.4210,0.3402,27.6645,3614.7409,1506.3868,0.0000,0.0000,49.3164
threading,100,1,100,3,0.2974,0.1456,0.4169,0.3578,30.5280,3275.6813,1320.9374,0.0000,0.0000,49.3203
threading,100,10,1000,1,0.3813,0.1063,1.9476,0.5291,40.3765,24766.8817,1383.4464,470.0813,16.7886,49.3438
threading,100,10,1000,2,0.5681,0.1716,2.7960,0.8390,59.7566,16734.5532,1578.0780,217.0496,12.6185,49.3438
threading,100,10,1000,3,0.4657,0.0896,2.9435,0.8541,49.5370,20186.9310,1294.5808,281.3890,10.8227,49.3438
threading,100,50,5000,1,0.8674,0.0756,5.3294,1.3943,91.8087,54461.0696,1261.9206,186.4740,12.2655,50.5000
threading,100,50,5000,2,1.1430,0.0776,10.3997,2.3093,123.9827,40328.2071,1425.2431,400.9471,21.0196,56.3164
threading,100,50,5000,3,1.0726,0.0689,4.7607,1.9313,114.4894,43672.1653,1454.9521,338.4032,17.0134,60.2305
threading,100,100,10000,1,2.0456,0.0714,10.6006,3.9807,215.9953,46297.3037,1368.5246,435.2627,40.4054,60.2461
threading,100,100,10000,2,1.8170,0.0663,10.9561,3.1819,196.6538,50850.7845,1454.8680,402.0844,35.5254,29.9141
threading,100,100,10000,3,2.1604,0.0884,18.7857,4.1815,236.3400,42311.9235,2909.6334,460.9834,21.3999,27.4688
threading,100,200,20000,1,4.3519,0.0995,22.9900,6.8208,453.4651,44104.8275,2413.6504,472.9668,52.4349,39.8594
threading,100,200,20000,2,4.5233,0.0948,24.1630,6.8861,467.3599,42793.5730,1791.9850,801.1762,100.7285,63.0625
threading,100,200,20000,3,4.4674,0.0901,34.6331,7.9025,505.6126,39555.9763,1881.3318,541.1026,67.8779,63.0781
threading,1000,1,1000,1,0.2006,0.0842,0.8455,0.3142,205.5233,4865.6284,1222.4708,93.2689,9.1177,56.8203
threading,1000,1,1000,2,0.2722,0.0575,5.5411,0.4546,277.7301,3600.6180,1255.1411,62.9620,6.2348,57.0586
threading,1000,1,1000,3,0.3166,0.1560,0.6493,0.4168,324.5294,3081.3849,1375.8606,125.7705,17.8675,57.2852
threading,1000,10,10000,1,0.3745,0.0747,3.6644,0.6913,380.2228,26300.3692,1474.1093,253.1922,32.4062,59.3047
threading,1000,10,10000,2,0.2857,0.0659,2.1025,0.5836,290.6062,34410.8281,1453.6980,468.4979,49.5584,60.6719
threading,1000,10,10000,3,0.3122,0.0737,4.0195,0.5867,317.8162,31464.7271,1504.3580,472.1894,59.3703,61.4336
threading,1000,50,50000,1,1.0430,0.0669,82.4373,1.6276,1059.2534,47203.0583,2341.2248,740.5167,151.6865,61.4531
threading,1000,50,50000,2,0.9931,0.0656,12.1622,1.6528,1008.5756,49574.8658,2112.4695,622.4988,139.2058,37.5469
threading,1000,50,50000,3,0.9176,0.0569,8.7886,1.4422,931.6897,53665.9362,2219.9519,563.5324,119.6662,30.7578
threading,1000,100,100000,1,2.1776,0.0680,104.8779,3.7133,2255.6954,44332.2268,3795.1392,638.6629,178.9930,37.3633
threading,1000,100,100000,2,2.3347,0.0813,13.8887,3.6626,2358.1854,42405.4869,3692.1115,764.0916,215.2710,43.2969
threading,1000,100,100000,3,1.9951,0.0706,16.4427,3.1530,2012.9331,49678.7499,3411.4479,712.7967,205.9268,45.0234
threading,1000,200,200000,1,4.9629,0.0747,100.6721,8.4811,5005.9459,39952.4893,6278.1062,691.1382,268.8916,57.3633
threading,1000,200,200000,2,4.7552,0.0700,38.3938,7.8402,4804.0519,41631.5236,6354.2063,793.1147,238.2763,65.3906
threading,1000,200,200000,3,4.8839,0.0752,161.8516,7.9419,4922.9094,40626.3824,6291.6854,611.7961,263.7791,65.3359
async,10,1,10,1,0.4573,0.1590,1.8565,1.8565,4.8200,2074.6888,1153.1902,31.4950,4.0709,8.4805
async,10,1,10,2,0.3222,0.0892,1.9170,1.9170,3.3920,2948.1132,1369.0182,63.6429,8.1557,8.4961
